name,enabled,n_phases,n_conds,base_freq,terminal1,terminal2,length,units,line_code,geometry
mdv201_hn_2_895_b52515,true,1,1,60,112112.2,52515.2,0.024383999,km,,1ph-noneal_#2_7strnoneacsr_1/0_6/1
mdv201_98795fuse,true,3,3,60,846,98795,0.001524,km,,3ph_horiz_lg_1c-busbarbusbarbusbarbusbar
mdv201_hn_2_246_b39602,true,1,1,60,39623.2,39602.2,0.067970398,km,,1ph-noneal_1/0_7strnoneacsr_1/0_6/1
mdv201_da_8_149_abc56778,true,3,3,60,56777,56778,0.102108,km,,3ph_horiz_lg_1c-al_4/0_7stral_4/0_7stral_4/0_7stracsr_1/0_6/1
mdv201_hn_2_083_abc62239,true,3,3,60,44586,62239,0.031394399,km,,3ph_horiz_lg_1c-al_4/0_7stral_4/0_7stral_4/0_7stracsr_1/0_6/1
mdv201_da_8_145_abc46393,true,3,3,60,46394,46393,0.07406639800000001,km,,3ph_horiz_lg_1c-al_4/0_7stral_4/0_7stral_4/0_7stracsr_1/0_6/1
mdv201_hn_2_729_b28246,true,1,1,60,1144254.2,28246.2,0.026212799,km,,1ph-noneal_#2_7strnoneacsr_1/0_6/1
mdv201_hn_2_954_b39771,true,1,1,60,14996.2,39771.2,0.049987198,km,,1ph-noneal_#2_7strnoneacsr_1/0_6/1
mdv201_108776fuse,true,1,1,60,74432.1,108776.1,0.001524,km,,1ph-busbarnonenonebusbar
hn_2p028_sw,true,1,1,60,1160489.1,mdv201_795elb_int.1,0.001,km,,
mdv201_795elb,true,1,1,60,mdv201_795elb_int.1,795.1,0.001524,km,busbar,
mdv201_1140227fuse,true,1,1,60,14879.1,1140227.1,0.001524,km,,1ph-busbarnonenonebusbar
mdv201_hn_2_488_c8103,true,1,1,60,8099.3,8103.3,0.038099999,km,,1ph-nonenoneal_#2_7stracsr_1/0_6/1
mdv201_da_8_917_a56768,true,1,1,60,1000983.1,56768.1,0.030784799,km,,1ph-al_1/0_7strnonenoneacsr_1/0_6/1
mdv201_hn_2_029_abc62262,true,3,3,60,62265,62262,0.060959998,km,,3ph_horiz_lg_1c-al_4/0_7stral_4/0_7stral_4/0_7stracsr_1/0_6/1
mdv201_hn_2_955_b39752,true,1,1,60,39771.2,39752.2,0.050596798,km,,1ph-noneal_#2_7strnoneacsr_1/0_6/1
